"","IDEN3","SERIE","CANSIS","GROUPE","PARCELLE","COMTE","Culture_1","COMMENTA","Duree_1","Duree_1b","Culture_2","Duree_2","Culture_3","Duree_3","Duree_rotation","Dist_Site","Nbre_site","xcoord","ycoord"
"585","PBK076","PERIBONKA","PBK",2,"076","LAC ST-JEAN OUEST","4-pommes de terre",NA,1,NA,NA,NA,NA,NA,NA,1506,7,-8021797.142,6236059.299
"586","PDM001","PIEDMONT","PDM",2,"001","PAPINEAU","5-maïs-ensilage",NA,NA,NA,NA,NA,NA,NA,NA,44,7,-8349390.398,5737462.811
"587","PDM002","PIEDMONT","PDM",2,"002","PAPINEAU","1-prairie","luzerne",NA,NA,NA,NA,NA,NA,NA,25,7,-8349487.319,5737687.545
"588","PDM003","PIEDMONT","PDM",2,"003","PAPINEAU","5-maïs-ensilage",NA,NA,NA,NA,NA,NA,NA,NA,148,7,-8353994.664,5753427.396
"589","PDM004","PIEDMONT","PDM",2,"004","PAPINEAU","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,40,7,-8352952.766,5754202.924
"590","PLI018","PELLETIER","PLI",2,"018","DEMEULE","5-maïs-ensilage",NA,4,NA,NA,NA,NA,NA,NA,38,7,-8081281.656,6218933.347
"591","PLI026","PELLETIER","PLI",2,"026","LAC ST-JEAN OUEST","5-maïs-ensilage",NA,3,NA,NA,NA,NA,NA,NA,57,7,-8070831.525,6215062.644
"592","PLI034","PELLETIER","PLI",2,"034","LAC ST-JEAN OUEST","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,36,7,-8085103.498,6224721.711
"593","PLI036","PELLETIER","PLI",2,"036","LAC ST-JEAN OUEST","1-prairie",NA,5,NA,NA,NA,NA,NA,NA,1312,7,-8082421.411,6222056.657
"594","PLI063","PELLETIER","PLI",2,"063","LAC ST-JEAN OUEST","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,55,7,-8084860.453,6225130.024
"595","PLI069","PELLETIER","PLI",2,"069","LAC ST-JEAN OUEST","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,32,7,-8084692.541,6225250.826
"596","PLO003","PLATON","PLO",1,"003","LOTBINIERE","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,1191,7,-7958409.486,5887277.445
"597","PLO005","PLATON","PLO",1,"005","LOTBINIERE","2-céréales",NA,4,NA,NA,NA,NA,NA,NA,617,7,-7979252.538,5877676.178
"598","PLO015","PLATON","PLO",1,"015","LOTBINIERE","1-prairie",NA,3,NA,NA,NA,NA,NA,NA,819,7,-7978789.651,5877468.585
"599","PLO024","PLATON","PLO",1,"024","LOTBINIERE","1-prairie",NA,7,NA,NA,NA,NA,NA,NA,968,7,-7978545.757,5876439.595
